,MFCCs_ 1,MFCCs_ 2,MFCCs_ 3,MFCCs_ 4,MFCCs_ 5,MFCCs_ 6,MFCCs_ 7,MFCCs_ 8,MFCCs_ 9,MFCCs_10,MFCCs_11,MFCCs_12,MFCCs_13,MFCCs_14,MFCCs_15,MFCCs_16,MFCCs_17,MFCCs_18,MFCCs_19,MFCCs_20,MFCCs_21,MFCCs_22,Family,Genus,Species
0,1.0,0.46491244953301103,0.409357322542282,0.22996654038760503,0.0430235009960779,0.110648199543934,0.0415582605842902,-0.00984221502530687,0.0814143751091689,0.036627411907928,-0.0411511577944764,0.0627154895287687,0.063290630492874,-0.0573704244909691,-0.0329152664242111,0.078128120709842,0.0199378609607727,-0.039469553764721,-0.000706313275074824,-0.005770237051517571,0.0022002682227527,0.0562884390185328,2,3,5
1,1.0,0.55058137365449,0.41676043686162106,0.199991609613357,0.0293942401631793,0.15204743042004998,0.0887362010767827,-0.0523865756000532,0.0790581741543309,0.0687917992355072,-0.0662070330916074,0.0778131904483194,0.10011053719554801,-0.0420214924243315,-0.007641335360987029,0.0531918462661944,-0.017400632304567,-0.021349225800661,0.0315309550152657,0.00121930840902242,0.00633503987929465,0.0546457274757717,2,3,5
2,1.0,0.305719881605932,0.16171235460755498,0.521876668464105,0.148562379482875,-0.0359448966321569,-0.138313770792134,0.0429361574745407,0.228264189277091,-0.00293480732571995,-0.33128592441032106,0.0207503853756398,0.33654207903586997,-0.0457425388444034,-0.260697202032835,0.0127719825152405,0.204895386125927,0.11623082051155802,-0.0287437652379785,-0.18497975958841398,0.000807327866726161,0.25098364880672497,3,0,1
3,1.0,0.0856292103349279,0.19463993462802898,0.5581770005398149,0.28813814163329304,0.0131149628064255,-0.0845583319880636,0.256094395829505,0.278832876090721,-0.0656002377029543,-0.22927844850250098,0.136162869086909,0.29983165984179905,-0.0600553677141539,-0.17061523816032503,0.0955786074758988,0.10160607434874401,-0.0371210557007124,-0.00906649180036628,-0.0290938783199416,0.140034659274219,0.10822400412372,3,0,1
4,1.0,0.15783058737407002,0.220787716906722,0.6623991468972421,0.25548490260622303,-0.0115875285516898,-0.16457318417983802,0.0497769156672775,0.233470514433955,-0.0293709184363352,-0.258733595906829,0.13934703851311903,0.233299548329254,-0.22437955485240801,-0.128132656918183,0.30864718684429304,0.26157911875638,-0.0794286469597333,-0.19282205989908396,-0.0458001404480457,0.168129090925211,0.179296732505349,3,0,1
5,1.0,0.23581669665306304,0.19933706576927498,0.433961115834194,0.0704790076616022,-0.0293675502606428,-0.12334521125422199,0.0747970059445492,0.281417555820121,-0.0240059630811512,-0.27623615697416304,0.22284822735801998,0.296161396045443,-0.214660674034043,-0.20198905921372198,0.23002392861391102,0.248456682305876,-0.00451998190767274,-0.149937215560296,-0.100218217278328,0.161845610434809,0.156423137509509,3,0,1
6,1.0,0.0596330909433398,0.457868221611275,0.37437640788679494,0.0507722981796157,-0.056700754829271,-0.189287824111589,0.217060189963831,0.16654519454849698,-0.118093972556013,-0.20798124152962197,0.0620166750858305,0.198724610789125,0.0602655263034194,-0.15725331887322302,-0.175866144220372,0.10105056317816401,0.17753584845849696,-0.0747838864736956,-0.164769638026923,-0.0635021326767509,0.10600056710149001,3,0,1
7,1.0,0.14806410608373902,0.302162199145659,0.337187234558953,0.138729719240049,0.20385617306468104,0.123009822619706,-0.13902157301999699,-0.0545291857356123,0.10521630712853,0.0692725944832183,0.0458045819726128,0.0689378942052859,-0.0680754346988745,-0.12499032546572698,0.0125034512455022,0.0930566072909251,0.0354878141379984,0.00716819259139555,-0.0261610347776988,-0.0557545027755803,0.00986741945584189,2,3,5
8,1.0,0.15844813524923498,0.42549375991318206,0.311498715886266,0.145595762343044,0.23741941863366298,0.0852594717055167,-0.14804224975310598,-0.0449913671916111,0.107463839243447,0.10109307273489998,0.0506597792380533,0.0602187434241808,-0.0361753913037035,-0.0988237255481125,0.0302896463859785,0.0936479054757063,0.006892749782529239,-0.00953816279447991,-0.0247428584265195,-0.0823887405552372,0.0224439901297216,2,3,5
9,1.0,0.143983907082083,0.167471566522594,0.574652326320624,0.23574538073983398,0.0837873143804132,-0.0914109293116102,-0.0129536852562099,0.17361356228180497,-0.0262431272405844,-0.18602162155575896,0.178411058865064,0.231499762353964,-0.278515966793485,-0.226756829450135,0.24449064974787696,0.25951528231437304,-0.11029132670273001,-0.22619680421706698,-0.10349912409695,0.15032646680262501,0.214336095633776,3,0,1
